== Defect Detection in Semiconductor Wafers Using Image Classification ==
[i] Loading dataset from file
[i] Initializing model
[i] Using device: cuda
[i] Prepare dataloader
[i] Beginning training loop
Epoch [1/150], 	Loss: 1.1072, Accuracy: 0.5484
Epoch [2/150], 	Loss: 0.8339, Accuracy: 0.5863
Epoch [3/150], 	Loss: 0.8135, Accuracy: 0.5915
Epoch [4/150], 	Loss: 0.7947, Accuracy: 0.5981
Epoch [5/150], 	Loss: 0.7741, Accuracy: 0.6042
Epoch [6/150], 	Loss: 0.7725, Accuracy: 0.6058
Epoch [7/150], 	Loss: 0.7497, Accuracy: 0.6119
Epoch [8/150], 	Loss: 0.7549, Accuracy: 0.6085
Epoch [9/150], 	Loss: 0.7437, Accuracy: 0.6134
Epoch [10/150], 	Loss: 0.7396, Accuracy: 0.6170
Epoch [11/150], 	Loss: 0.7349, Accuracy: 0.6178
Epoch [12/150], 	Loss: 0.7297, Accuracy: 0.6196
Epoch [13/150], 	Loss: 0.7218, Accuracy: 0.6219
Epoch [14/150], 	Loss: 0.7148, Accuracy: 0.6250
Epoch [15/150], 	Loss: 0.7169, Accuracy: 0.6256
Epoch [16/150], 	Loss: 0.7055, Accuracy: 0.6288
Epoch [17/150], 	Loss: 0.7077, Accuracy: 0.6290
Epoch [18/150], 	Loss: 0.6928, Accuracy: 0.6374
Epoch [19/150], 	Loss: 0.6913, Accuracy: 0.6338
Epoch [20/150], 	Loss: 0.6739, Accuracy: 0.6422
Epoch [21/150], 	Loss: 0.6726, Accuracy: 0.6398
Epoch [22/150], 	Loss: 0.6695, Accuracy: 0.6428
Epoch [23/150], 	Loss: 0.6627, Accuracy: 0.6474
Epoch [24/150], 	Loss: 0.6535, Accuracy: 0.6482
Epoch [25/150], 	Loss: 0.6443, Accuracy: 0.6528
Epoch [26/150], 	Loss: 0.6227, Accuracy: 0.6634
Epoch [27/150], 	Loss: 0.6207, Accuracy: 0.6630
Epoch [28/150], 	Loss: 0.6161, Accuracy: 0.6645
Epoch [29/150], 	Loss: 0.6015, Accuracy: 0.6669
Epoch [30/150], 	Loss: 0.6064, Accuracy: 0.6621
Epoch [31/150], 	Loss: 0.5942, Accuracy: 0.6717
Epoch [32/150], 	Loss: 0.5913, Accuracy: 0.6726
Epoch [33/150], 	Loss: 0.5819, Accuracy: 0.6764
Epoch [34/150], 	Loss: 0.5781, Accuracy: 0.6782
Epoch [35/150], 	Loss: 0.5784, Accuracy: 0.6784
Epoch [36/150], 	Loss: 0.5716, Accuracy: 0.6802
Epoch [37/150], 	Loss: 0.5760, Accuracy: 0.6810
Epoch [38/150], 	Loss: 0.5658, Accuracy: 0.6847
Epoch [39/150], 	Loss: 0.5532, Accuracy: 0.6881
Epoch [40/150], 	Loss: 0.5552, Accuracy: 0.6845
Epoch [41/150], 	Loss: 0.5550, Accuracy: 0.6878
Epoch [42/150], 	Loss: 0.5506, Accuracy: 0.6902
