== Defect Detection in Semiconductor Wafers Using Image Classification ==
[i] Loading dataset from file
[i] Initializing model
[i] Using device: cuda
[i] Prepare dataloader
[i] Beginning training loop
Epoch [1/150], 	Loss: 0.8602, Accuracy: 0.5658
Epoch [2/150], 	Loss: 0.7539, Accuracy: 0.6095
Epoch [3/150], 	Loss: 0.7532, Accuracy: 0.6059
Epoch [4/150], 	Loss: 0.7265, Accuracy: 0.6278
Epoch [5/150], 	Loss: 0.7165, Accuracy: 0.6284
Epoch [6/150], 	Loss: 0.6967, Accuracy: 0.6330
Epoch [7/150], 	Loss: 0.6821, Accuracy: 0.6410
Epoch [8/150], 	Loss: 0.6709, Accuracy: 0.6413
Epoch [9/150], 	Loss: 0.6607, Accuracy: 0.6465
Epoch [10/150], 	Loss: 0.6494, Accuracy: 0.6481
Epoch [11/150], 	Loss: 0.6353, Accuracy: 0.6582
Epoch [12/150], 	Loss: 0.6334, Accuracy: 0.6559
Epoch [13/150], 	Loss: 0.6297, Accuracy: 0.6586
Epoch [14/150], 	Loss: 0.6119, Accuracy: 0.6643
Epoch [15/150], 	Loss: 0.6164, Accuracy: 0.6666
Epoch [16/150], 	Loss: 0.6015, Accuracy: 0.6670
Epoch [17/150], 	Loss: 0.5979, Accuracy: 0.6727
Epoch [18/150], 	Loss: 0.5979, Accuracy: 0.6687
Epoch [19/150], 	Loss: 0.5893, Accuracy: 0.6764
Epoch [20/150], 	Loss: 0.5796, Accuracy: 0.6815
Epoch [21/150], 	Loss: 0.5794, Accuracy: 0.6759
Epoch [22/150], 	Loss: 0.5761, Accuracy: 0.6772
Epoch [23/150], 	Loss: 0.5749, Accuracy: 0.6763
Epoch [24/150], 	Loss: 0.5723, Accuracy: 0.6752
Epoch [25/150], 	Loss: 0.5692, Accuracy: 0.6805
Epoch [26/150], 	Loss: 0.5691, Accuracy: 0.6831
Epoch [27/150], 	Loss: 0.5529, Accuracy: 0.6858
Epoch [28/150], 	Loss: 0.5582, Accuracy: 0.6864
Epoch [29/150], 	Loss: 0.5602, Accuracy: 0.6832
Epoch [30/150], 	Loss: 0.5596, Accuracy: 0.6799
Epoch [31/150], 	Loss: 0.5453, Accuracy: 0.6927
Epoch [32/150], 	Loss: 0.5463, Accuracy: 0.6917
Epoch [33/150], 	Loss: 0.5472, Accuracy: 0.6921
Epoch [34/150], 	Loss: 0.5448, Accuracy: 0.6927
